,mass,chi,a210,phi210,a211,phi211,a212,phi212,a220,phi220,a221,phi221,a222,phi222,a320,phi320,a321,phi321,a322,phi322,a330,phi330,a331,phi331,a332,phi332,a440,phi440,a441,phi441,a442,phi442,r_squared,t0,inclination
0,68.59876309080448,0.6000000000000001,0.002605046921738517,6.139808179206058,0.0010321976375151796,3.824294015831477,0.02815765740015658,0.8623263401942091,0.003796555495759632,1.1970300862045165,0.016228706910400823,4.438893579937293,0.020614022450334075,3.357812132805813,0.0015481728847677103,0.5604927511129429,0.0038559936902266816,3.164667793605029,2.951124907411232e-05,4.394756484069098,0.00067110319699883,2.4427731763374,0.0032039866146360346,6.283128128996338,0.004125957002260846,5.894706483172723,9.176867763328365e-05,0.6516668029787261,0.0008561797505650282,2.3156634503344256,0.0006298640246471397,5.080462345945034,0.994519275818532,-0.006,0.0
1,55.00000000000001,0.6296854077267995,0.0030474030406910874,6.283185307179585,0.00532322795780728,5.51725882692482,0.011149975786437036,2.472443389079371,0.003388767887736168,2.6076066746635522,0.0047009423973516885,4.268480179855548,0.00640272463723704,6.135648339722169,0.0008197877563178186,1.2581818246318652,0.001969891660213791,5.86788072383074,1.173414318681749e-06,4.225010149860495,0.00077371951260419,2.982144882980705,1.535249802310661e-06,4.715437922003414,1.1114199422714167e-06,3.665782551488061,0.00012853290502283567,1.3166462410886441,0.0006299058866800453,3.082849845597343,0.0003893968617670039,6.283185307051145,0.9947434587356256,-0.005,0.0
2,77.85555171019364,0.8214175594942011,0.0002204801564284338,6.283184851128032,0.002336645186037044,6.278058730389986,0.0028417661399800153,3.565605526222693,0.0010362532438682927,6.282946861621062,0.0005547697457922681,4.912807997944453,0.0006837177317205596,5.52906536890685,0.0008495771937411623,0.2932464860985589,0.005723939084617078,3.109339333172599,0.00146260466967449,6.283105815271826,0.0001145965059749978,0.054459434628126545,0.002122912182617495,6.279206625360879,1.0753719640608327e-06,5.617327361771805,5.5020819348830535e-05,0.9236295576981736,0.00033621076184478223,3.380563868110877,0.0005646813229481871,0.5506190210098001,0.9943982890052301,-0.004,0.0
3,78.99493514200739,0.8293991344795615,0.00013497637803674018,6.271740891965079,0.0007040174202878142,5.213290894705203,0.0028261841978672333,2.584768966831439,0.000777222951126784,6.283132941548669,0.0021792782112704774,5.979561644995626,0.003382402676375657,5.4888988828566205,0.0007979771648479609,0.4814445685522461,0.0060147387076053905,2.986560482381864,1.059683521863813e-06,4.272845223786057,1.0000000003529599e-06,3.0586660239943146,0.002492316696058996,6.066644715239349,1.7171787403940876e-06,4.135805922101137,1.3175283204492694e-06,0.007545829708813227,0.00029379523611544123,1.2498769039369224,1.6510398507900516e-06,3.315633111325884,0.9942317678701503,-0.003,0.0
4,74.7725525176957,0.8602753770939761,0.000244998211109138,5.980147908295224,0.0005633354096753613,5.516753033579242,1.0000000000000004e-06,6.234500786612185,0.0012479342769172001,4.842856698838607,1.2695839724669142e-06,6.1985243123918305,1.0052511463489693e-06,6.133764198113189,1.0000000000000002e-06,0.015937472156825037,0.0024002572934698992,0.8302107492394792,1.190847454555931e-06,6.2831154667564615,0.00023586494626826797,1.7982186555636677,0.0016229442923285078,4.532154065007509,0.0023960623742434245,2.713911205923454,5.774939286823268e-05,3.904414266925193,0.0002816342227043141,5.4618775196128695,0.0005771180428735486,6.283185271242113,0.9953374518869547,-0.002,0.0
5,69.6765280646783,0.8517525709612145,0.00012095819025972314,5.8464192170571545,0.0003464103127765194,6.267561262557314,0.0005745010062102537,3.1307783697281377,0.0016273649299893601,3.74302359143465,0.0033446669186798536,6.268882709086513,2.506872574656857e-06,4.752597761248966,6.84389508703191e-05,0.7053468698694798,7.554413872629002e-05,3.2423087374009145,0.0012787621758374437,2.8592335269952436,4.164090493894145e-05,6.514780257859619e-09,0.00021644385062894998,1.8080106707359125,1.1397239037024786e-06,1.0510233364441608,1.2324640202365063e-05,2.867994540672669,2.93545370553815e-06,4.0709588240919,0.00014850558689426816,5.000907029335707,0.9987789669853031,-0.001,0.0
6,68.51540071871537,0.8328145032595192,1.0047938393820818e-06,3.9989978159457293,1.3738694417584277e-06,0.011875202907323067,0.001104502058738365,1.5746274165704188,0.0017910996838732146,3.8519182863647945,0.003408694417001938,6.198909053285589,0.0013014545445976698,3.270124355279651,6.83591242205703e-05,2.5962885852621405,1.1548648320144064e-06,4.670931473524973,1.0127039818403414e-06,5.3514969654676365,3.803850904441483e-05,3.393366876034515,1.0000063548477505e-06,5.087960797191668,1.0000705582749042e-06,5.312460300559872,1.0000000000000002e-06,5.0379690733698395,1.000001242092407e-06,5.291114128378187,1.000000000291843e-06,5.352785043698601,0.9983762152640352,0,0.0
7,78.68181681276286,0.6134874931027295,0.0001901915168137712,3.265945207245785,0.001967697711195142,2.5340432444108805,1.7098172752984438e-06,2.001714513824719,0.00017928214442317918,3.866332134828595,2.1649209577377813e-06,5.009387446969203,0.004846668577399497,1.5768830487033267,0.002154602899365437,3.085586256764753,0.004154767847289588,5.092603781194504,0.0014382626089456184,5.1140950320760075,0.0004120339441916896,4.664769739066713,0.0007218928681951018,4.537075736111369,1.2493809243510288e-06,4.311459411488644,1.6517258614892865e-05,2.8839408383167964,3.5400479704646346e-06,4.303919369897352,0.0007478102025808369,5.051535508116658,0.9980604567866456,0.001,0.0
8,79.02354616117097,0.6411389317471252,2.2672718779340133e-06,3.7478514852075877,1.7564995589510451e-06,2.1264596255975445,0.024035832828163076,1.802846398394863,8.526862128824733e-05,5.802805538781899,0.008645462542383495,3.5523412568159394,0.010652926916330588,2.653451694351474,0.002226512266074613,2.6456181337136937,0.01205487482432739,5.212967611642163,1.050059921891855e-05,6.198619981076553,0.00038466313775338713,3.296297665861128,0.0063820502300695105,3.031831278521013,0.006371963981313947,4.7535213019005615,3.1410583562249554e-06,5.661213126049604,0.0006531635922896007,3.0313144004106616,0.0034805838879062782,4.698101482711522,0.997966917846715,0.002,0.0
9,79.69417600553254,0.6562434201759281,0.000239656575343354,5.825165385159029,1.834830830693266e-06,2.042511839755411,0.05927477526988419,1.17973965174068,0.00031891957970580563,6.282850838625606,0.017664351338233835,3.154455312636579,0.028731920211724427,2.254358944130605,0.0020969799834930566,2.6459859687692786,0.002992769455763579,4.123768163389538,1.0890341911007765e-05,3.8758158708847197,0.0003260674421748928,3.080251418180141,0.011300193922863635,3.513716483848718,0.0023922882121457127,3.85290719542963,2.247535947891764e-05,0.515119842662305,0.0011654202939238062,2.6137816601319495,0.0049487248571609055,3.643129296375219,0.9969618429765976,0.003,0.0
