,mass,chi,a220,phi220,a221,phi221,a222,phi222,r_squared,t0,inclination
0,56.530731664011114,0.6400110747915075,0.00017650483428672295,2.4798621870274506,0.0008212566799281175,5.467031573639273,0.000674975405115776,2.3033779529461955,0.4800032431306911,-0.006,0.0
1,53.01716369359404,0.6405322614032256,0.00021829936774281093,2.1273402128950374,0.0009833288893411592,5.185709768481731,0.0008289577032100042,2.011524799733141,0.5948329268036193,-0.005,0.0
2,53.00843331413853,0.6606301755782013,0.00020125729240754267,1.9868883874716377,0.0008949095093781151,5.066334813935294,0.0007396396861968992,1.9044299424642548,0.5738461601693153,-0.004,0.0
3,60.998916234410885,0.6400004877644254,0.00012430778163547107,3.160452331203875,0.0005347407161348738,5.906793062948609,0.00042191408269917586,2.79409924479012,0.5818218645116584,-0.003,0.0
4,60.99999999999999,0.6400000000000001,0.00013565319489336155,3.403210292812735,0.0005004379257703315,5.8122716306921,0.0004228174979649878,2.4710881285926476,0.7715616614790163,-0.002,0.0
5,60.97427109238447,0.6410110796867966,0.0001240085641819478,3.680196237920017,0.00011169330400589654,6.283185307166559,1.001067090025128e-05,6.27845980498023,0.9787335215333167,-0.001,0.0
6,59.784514073789566,0.6475946993952505,0.00013647226640273836,3.372185169109892,0.00024814183363759863,5.726245109696352,0.0001368159272776381,2.162373512923653,0.9993331507495424,0,0.0
7,60.45704709625441,0.66788790499586,0.00012703901410055976,3.3230878128426293,0.0001930532897847601,5.297123543070739,0.00020565289449886012,0.7452882863438666,0.9993133583847562,0.001,0.0
8,60.115068714084934,0.6580337472553413,0.00013177971941762755,3.3764308113289387,0.00012830093708721704,5.954575762391926,0.00034595080395465484,5.302361027200656,0.9993473827293319,0.002,0.0
9,58.65778702991933,0.6577011739224552,0.00013975773101996836,3.0292900791337796,0.00040367255574895857,5.258249532902236,0.00012115307990051747,1.1585932221959276,0.9992706807158297,0.003,0.0
10,58.784345090000926,0.661137034538062,0.00013320053958712082,3.009902939321247,0.0003475783437466651,4.635426221740239,0.0015650485148584533,6.124707306444832,0.9988964454232122,0.004,0.0
11,57.78005980034607,0.6400000076406962,0.00013195810741274523,3.0384841001374263,0.00028647373052629194,3.631388491034798,0.000405089617953095,3.8837771786951136,0.9947782311391888,0.005,0.0
12,57.86788053810263,0.6682557583734533,0.00012227317592821167,2.495736349030376,0.0013729910608858784,3.689015860274771,0.0035700874817550968,3.68796721303113,0.9635403097849438,0.006,0.0
13,57.0,0.68,0.0001,3.141592653589793,0.0001,3.141592653589793,0.0001,3.141592653589793,0.4367483696337434,0.007,0.0
14,57.0,0.68,0.0001,3.141592653589793,0.0001,3.141592653589793,0.0001,3.141592653589793,0.351247041683604,0.008,0.0
15,57.0,0.68,0.0001,3.141592653589793,0.0001,3.141592653589793,0.0001,3.141592653589793,0.08240542157151431,0.009,0.0
16,57.0,0.68,0.0001,3.141592653589793,0.0001,3.141592653589793,0.0001,3.141592653589793,0.21465912787254793,0.01,0.0
17,56.56819135766232,0.6410136943746033,0.00015433779048088387,2.4835312007760595,0.0007161239724540238,5.471825829513567,0.0005871387140526549,2.3098619332327286,0.47993223290593345,-0.006,0.5235987755982988
18,53.018223067345225,0.640000000966532,0.00019103748723827733,2.1259018902533438,0.0008641560291642559,5.183422935676509,0.0007308177575870809,2.0085249204802964,0.5949364896811262,-0.005,0.5235987755982988
19,53.00001906359033,0.6636072247174967,0.0001777842746443788,1.9787806592955417,0.0007873871555567732,5.059568988586655,0.0006501582516854442,1.897743093092128,0.5739621585645758,-0.004,0.5235987755982988
20,57.58893211574644,0.6400921196713946,0.0001430509768064895,2.729350265942872,0.0006337808885305402,5.634019272320027,0.0005050957137197544,2.474643658522533,0.5778820266515892,-0.003,0.5235987755982988
21,60.999999996132495,0.6400000000000001,0.00011863468135404483,3.4048284165042757,0.00043714175889714515,5.813021768383071,0.0003692198007045615,2.471752075529996,0.7715606537106658,-0.002,0.5235987755982988
22,60.998672761002304,0.6413520991371756,0.00010836452863440155,3.681405354143732,9.643372345177933e-05,6.283185307015024,1.0016586060469026e-05,6.283047395566211,0.9785928892151123,-0.001,0.5235987755982988
23,59.163677669225386,0.6400692698812769,0.00012268610225437258,3.3152589374339003,0.00024698082272320954,5.66755425586278,0.00015121256434289833,2.125024318084511,0.9996192905998983,0,0.5235987755982988
24,59.51244662876214,0.6682198166877371,0.00011429504519624478,3.10516810417488,0.0002807204383701324,5.10045795199761,0.0002854918872621027,1.1627446373547787,0.9996334417954156,0.001,0.5235987755982988
25,60.63702932279122,0.6639359397607871,0.00011148092261848618,3.4367884340504693,5.9649329180642364e-05,6.119317168816319,0.00038791347369824056,5.507234486760852,0.9990508706342653,0.002,0.5235987755982988
26,58.7357064761275,0.6438883680313723,0.00012304831006591194,3.192082876351108,0.00026009196079493553,5.52701030114693,9.386226025805749e-05,5.424737177176292,0.999640844986521,0.003,0.5235987755982988
27,58.271649096812084,0.6694203298455014,0.00011325855675143293,2.7866620271437523,0.0004718120519719745,4.21624921828782,0.00218867054305783,6.207054013635548,0.9962205216199689,0.004,0.5235987755982988
28,58.388372250601066,0.661281839753533,0.0001240140534142737,2.8577005370531525,0.0007096889650669204,5.036619762675784,0.0004727869571653915,3.384577254609129,0.9987572759095186,0.005,0.5235987755982988
29,57.880855734747705,0.667601926064688,0.0001146885157361918,2.596613926108844,0.0013620470548677509,4.168173897476956,0.003431611565044181,3.658087653423776,0.9965744667766376,0.006,0.5235987755982988
